trip_id,stop_sequence,stop_id,arrival_time,departure_time
MSC 731,12,LLN,07:25:00,07:25:00
MSC 731,13,BLU,07:29:00,07:29:00
MSC 731,14,TU,07:34:00,07:34:00
MSC 751,1,AA,06:42:00,06:42:00
MSC 751,2,SU,06:51:00,06:51:00
MSC 751,3,BIC,07:00:00,07:00:00
MSC 751,4,FTI,07:05:00,07:05:00
MSC 751,5,NIC,07:09:00,07:09:00
MSC 751,6,EDS,07:14:00,07:14:00
MSC 751,7,PRD,07:17:00,07:17:00
MSC 751,8,DLR,07:20:00,07:20:00
MSC 751,9,VTC,07:24:00,07:24:00
MSC 751,10,SAN,07:26:00,07:26:00
MSC 751,11,PC,07:29:00,07:29:00
MSC 751,12,PD,07:33:00,07:33:00
MSC 751,13,SA,07:37:00,07:37:00
MSC 751,14,SPÑ,07:42:00,07:42:00
MSC 751,15,LLN,07:45:00,07:45:00
MSC 751,16,BLU,07:49:00,07:49:00
MSC 751,17,TU,07:54:00,07:54:00
MNC 811,1,BIC,07:20:00,07:20:00
MNC 811,2,FTI,07:25:00,07:25:00
MNC 811,3,NIC,07:29:00,07:29:00
MNC 811,4,EDS,07:34:00,07:34:00
MNC 811,5,PRD,07:37:00,07:37:00
MNC 811,6,DLR,07:40:00,07:40:00
MNC 811,7,VTC,07:44:00,07:44:00
MNC 811,8,SAN,07:46:00,07:46:00
MNC 811,9,PC,07:49:00,07:49:00
MNC 811,10,PD,07:53:00,07:53:00
MNC 811,11,SA,07:57:00,07:57:00
MNC 811,12,SPÑ,08:02:00,08:02:00
MNC 811,13,LLN,08:05:00,08:05:00
MNC 811,14,BLU,08:09:00,08:09:00
MSC 851,1,FTI,08:05:00,08:05:00
MSC 851,2,NIC,08:09:00,08:09:00
MSC 851,3,EDS,08:14:00,08:14:00
MSC 851,4,PRD,08:17:00,08:17:00
MSC 851,5,DLR,08:20:00,08:20:00
MSC 851,6,VTC,08:24:00,08:24:00
MSC 851,7,SAN,08:26:00,08:26:00
MSC 851,8,PC,08:29:00,08:29:00
MSC 851,9,PD,08:33:00,08:33:00
MSC 851,10,SA,08:37:00,08:37:00
MSC 851,11,SPÑ,08:42:00,08:42:00
MSC 851,12,LLN,08:45:00,08:45:00
MSC 851,13,BLU,08:49:00,08:49:00
MSC 851,14,TU,08:54:00,08:54:00
MNC 921,1,BIC,08:30:00,08:30:00
MNC 921,2,FTI,08:35:00,08:35:00
MNC 921,3,NIC,08:39:00,08:39:00
MNC 921,4,EDS,08:44:00,08:44:00
MNC 921,5,PRD,08:47:00,08:47:00
MNC 921,6,DLR,08:50:00,08:50:00
MNC 921,7,VTC,08:54:00,08:54:00
MNC 921,8,SAN,08:56:00,08:56:00
MNC 921,9,PC,08:59:00,08:59:00
MNC 921,10,PD,09:03:00,09:03:00
MNC 921,11,SA,09:07:00,09:07:00
MNC 921,12,SPÑ,09:12:00,09:12:00
MNC 921,13,LLN,09:15:00,09:15:00
MNC 921,14,BLU,09:19:00,09:19:00
MSC 931,1,AA,08:22:00,08:22:00
MSC 931,2,SU,08:31:00,08:31:00
MSC 931,3,BIC,08:40:00,08:40:00
MSC 931,4,FTI,08:45:00,08:45:00
MSC 931,5,NIC,08:49:00,08:49:00
MSC 931,6,EDS,08:54:00,08:54:00
MSC 931,7,PRD,08:57:00,08:57:00
MSC 931,8,DLR,09:00:00,09:00:00
MSC 931,9,VTC,09:04:00,09:04:00
MSC 931,10,SAN,09:06:00,09:06:00
MSC 931,11,PC,09:09:00,09:09:00
MSC 931,12,PD,09:13:00,09:13:00
MSC 931,13,SA,09:17:00,09:17:00
MSC 931,14,SPÑ,09:22:00,09:22:00
MSC 931,15,LLN,09:25:00,09:25:00
MSC 931,16,BLU,09:29:00,09:29:00
MSC 931,17,TU,09:34:00,09:34:00
MSC 1011,1,FTI,09:25:00,09:25:00
MSC 1011,2,NIC,09:29:00,09:29:00
MSC 1011,3,EDS,09:34:00,09:34:00
MSC 1011,4,PRD,09:37:00,09:37:00
MSC 1011,5,DLR,09:40:00,09:40:00
MSC 1011,6,VTC,09:44:00,09:44:00
MSC 1011,7,SAN,09:46:00,09:46:00
MSC 1011,8,PC,09:49:00,09:49:00
MSC 1011,9,PD,09:53:00,09:53:00
MSC 1011,10,SA,09:57:00,09:57:00
MSC 1011,11,SPÑ,10:02:00,10:02:00
MSC 1011,12,LLN,10:05:00,10:05:00
MSC 1011,13,BLU,10:09:00,10:09:00
MSC 1011,14,TU,10:14:00,10:14:00
MSC 1041,1,AA,09:32:00,09:32:00
MSC 1041,2,SU,09:41:00,09:41:00
MSC 1041,3,BIC,09:50:00,09:50:00
MSC 1041,4,FTI,09:55:00,09:55:00
MSC 1041,5,NIC,09:59:00,09:59:00
MSC 1041,6,EDS,10:04:00,10:04:00
MSC 1041,7,PRD,10:07:00,10:07:00
MSC 1041,8,DLR,10:10:00,10:10:00
MSC 1041,9,VTC,10:14:00,10:14:00
MSC 1041,10,SAN,10:16:00,10:16:00
MSC 1041,11,PC,10:19:00,10:19:00
MSC 1041,12,PD,10:23:00,10:23:00
MSC 1041,13,SA,10:27:00,10:27:00
MSC 1041,14,SPÑ,10:32:00,10:32:00
MSC 1041,15,LLN,10:35:00,10:35:00
MSC 1041,16,BLU,10:39:00,10:39:00
MSC 1041,17,TU,10:44:00,10:44:00
MNC 1101,1,BIC,10:10:00,10:10:00
MNC 1101,2,FTI,10:15:00,10:15:00
MNC 1101,3,NIC,10:19:00,10:19:00
MNC 1101,4,EDS,10:24:00,10:24:00
MNC 1101,5,PRD,10:27:00,10:27:00
MNC 1101,6,DLR,10:30:00,10:30:00
MNC 1101,7,VTC,10:34:00,10:34:00
MNC 1101,8,SAN,10:36:00,10:36:00
MNC 1101,9,PC,10:39:00,10:39:00
MNC 1101,10,PD,10:43:00,10:43:00
MNC 1101,11,SA,10:47:00,10:47:00
MNC 1101,12,SPÑ,10:52:00,10:52:00
MNC 1101,13,LLN,10:55:00,10:55:00
MNC 1101,14,BLU,10:59:00,10:59:00
MSC 1121,1,FTI,10:35:00,10:35:00
MSC 1121,2,NIC,10:39:00,10:39:00
MSC 1121,3,EDS,10:44:00,10:44:00
MSC 1121,4,PRD,10:47:00,10:47:00
MSC 1121,5,DLR,10:50:00,10:50:00
MSC 1121,6,VTC,10:54:00,10:54:00
MSC 1121,7,SAN,10:56:00,10:56:00
MSC 1121,8,PC,10:59:00,10:59:00
MSC 1121,9,PD,11:03:00,11:03:00
MSC 1121,10,SA,11:07:00,11:07:00
MSC 1121,11,SPÑ,11:12:00,11:12:00
MSC 1121,12,LLN,11:15:00,11:15:00
MSC 1121,13,BLU,11:19:00,11:19:00
MSC 1121,14,TU,11:24:00,11:24:00
MSC 1221,1,AA,11:12:00,11:12:00
MSC 1221,2,SU,11:21:00,11:21:00
MSC 1221,3,BIC,11:30:00,11:30:00
MSC 1221,4,FTI,11:35:00,11:35:00
MSC 1221,5,NIC,11:39:00,11:39:00
MSC 1221,6,EDS,11:44:00,11:44:00
MSC 1221,7,PRD,11:47:00,11:47:00
MSC 1221,8,DLR,11:50:00,11:50:00
MSC 1221,9,VTC,11:54:00,11:54:00
MSC 1221,10,SAN,11:56:00,11:56:00
MSC 1221,11,PC,11:59:00,11:59:00
MSC 1221,12,PD,12:03:00,12:03:00
MSC 1221,13,SA,12:07:00,12:07:00
MSC 1221,14,SPÑ,12:12:00,12:12:00
MSC 1221,15,LLN,12:15:00,12:15:00
MSC 1221,16,BLU,12:19:00,12:19:00
MSC 1221,17,TU,12:24:00,12:24:00
MSC 1331,1,AA,12:22:00,12:22:00
MSC 1331,2,SU,12:31:00,12:31:00
MSC 1331,3,BIC,12:40:00,12:40:00
MSC 1331,4,FTI,12:45:00,12:45:00
MSC 1331,5,NIC,12:49:00,12:49:00
MSC 1331,6,EDS,12:54:00,12:54:00
MSC 1331,7,PRD,12:57:00,12:57:00
MSC 1331,8,DLR,13:00:00,13:00:00
MSC 1331,9,VTC,13:04:00,13:04:00
MSC 1331,10,SAN,13:06:00,13:06:00
MSC 1331,11,PC,13:09:00,13:09:00
MSC 1331,12,PD,13:13:00,13:13:00
MSC 1331,13,SA,13:17:00,13:17:00
MSC 1331,14,SPÑ,13:22:00,13:22:00
MSC 1331,15,LLN,13:25:00,13:25:00
MSC 1331,16,BLU,13:29:00,13:29:00
MSC 1331,17,TU,13:34:00,13:34:00
MSC 1421,1,AA,13:12:00,13:12:00
MSC 1421,2,SU,13:21:00,13:21:00
MSC 1421,3,BIC,13:30:00,13:30:00
MSC 1421,4,FTI,13:35:00,13:35:00
MSC 1421,5,NIC,13:39:00,13:39:00
MSC 1421,6,EDS,13:44:00,13:44:00
MSC 1421,7,PRD,13:47:00,13:47:00
MSC 1421,8,DLR,13:50:00,13:50:00
MSC 1421,9,VTC,13:54:00,13:54:00
MSC 1421,10,SAN,13:56:00,13:56:00
MSC 1421,11,PC,13:59:00,13:59:00
MSC 1421,12,PD,14:03:00,14:03:00
MSC 1421,13,SA,14:07:00,14:07:00
MSC 1421,14,SPÑ,14:12:00,14:12:00
MSC 1421,15,LLN,14:15:00,14:15:00
MSC 1421,16,BLU,14:19:00,14:19:00
MSC 1421,17,TU,14:24:00,14:24:00
MSC 1441,1,FTI,13:55:00,13:55:00
MSC 1441,2,NIC,13:59:00,13:59:00
MSC 1441,3,EDS,14:04:00,14:04:00
MSC 1441,4,PRD,14:07:00,14:07:00
MSC 1441,5,DLR,14:10:00,14:10:00
MSC 1441,6,VTC,14:14:00,14:14:00
MSC 1441,7,SAN,14:16:00,14:16:00
MSC 1441,8,PC,14:19:00,14:19:00
MSC 1441,9,PD,14:23:00,14:23:00
MSC 1441,10,SA,14:27:00,14:27:00
MSC 1441,11,SPÑ,14:32:00,14:32:00
MSC 1441,12,LLN,14:35:00,14:35:00
MSC 1441,13,BLU,14:39:00,14:39:00
MSC 1441,14,TU,14:44:00,14:44:00
MNC 1551,1,BIC,15:00:00,15:00:00
MNC 1551,2,FTI,15:05:00,15:05:00
MNC 1551,3,NIC,15:09:00,15:09:00
MNC 1551,4,EDS,15:14:00,15:14:00
MNC 1551,5,PRD,15:17:00,15:17:00
MNC 1551,6,DLR,15:20:00,15:20:00
MNC 1551,7,VTC,15:24:00,15:24:00
MNC 1551,8,SAN,15:26:00,15:26:00
MNC 1551,9,PC,15:29:00,15:29:00
MNC 1551,10,PD,15:33:00,15:33:00
MNC 1551,11,SA,15:37:00,15:37:00
MNC 1551,12,SPÑ,15:42:00,15:42:00
MNC 1551,13,LLN,15:45:00,15:45:00
MNC 1551,14,BLU,15:49:00,15:49:00
MSC 1611,1,AA,15:02:00,15:02:00
MSC 1611,2,SU,15:11:00,15:11:00
MSC 1611,3,BIC,15:20:00,15:20:00
MSC 1611,4,FTI,15:25:00,15:25:00
MSC 1611,5,NIC,15:29:00,15:29:00
MSC 1611,6,EDS,15:34:00,15:34:00
MSC 1611,7,PRD,15:37:00,15:37:00
MSC 1611,8,DLR,15:40:00,15:40:00
MSC 1611,9,VTC,15:44:00,15:44:00
MSC 1611,10,SAN,15:46:00,15:46:00
MSC 1611,11,PC,15:49:00,15:49:00
MSC 1611,12,PD,15:53:00,15:53:00
MSC 1611,13,SA,15:57:00,15:57:00
MSC 1611,14,SPÑ,16:02:00,16:02:00
MSC 1611,15,LLN,16:05:00,16:05:00
MSC 1611,16,BLU,16:09:00,16:09:00
MSC 1611,17,TU,16:14:00,16:14:00
MNC 1651,1,BIC,16:00:00,16:00:00
MNC 1651,2,FTI,16:05:00,16:05:00
MNC 1651,3,NIC,16:09:00,16:09:00
MNC 1651,4,EDS,16:14:00,16:14:00
MNC 1651,5,PRD,16:17:00,16:17:00
MNC 1651,6,DLR,16:20:00,16:20:00
MNC 1651,7,VTC,16:24:00,16:24:00
MNC 1651,8,SAN,16:26:00,16:26:00
MNC 1651,9,PC,16:29:00,16:29:00
MNC 1651,10,PD,16:33:00,16:33:00
MNC 1651,11,SA,16:37:00,16:37:00
MNC 1651,12,SPÑ,16:42:00,16:42:00
MNC 1651,13,LLN,16:45:00,16:45:00
MNC 1651,14,BLU,16:49:00,16:49:00
MSC 1711,1,FTI,16:25:00,16:25:00
MSC 1711,2,NIC,16:29:00,16:29:00
MSC 1711,3,EDS,16:34:00,16:34:00
MSC 1711,4,PRD,16:37:00,16:37:00
MSC 1711,5,DLR,16:40:00,16:40:00
MSC 1711,6,VTC,16:44:00,16:44:00
MSC 1711,7,SAN,16:46:00,16:46:00
MSC 1711,8,PC,16:49:00,16:49:00
MSC 1711,9,PD,16:53:00,16:53:00
MSC 1711,10,SA,16:57:00,16:57:00
MSC 1711,11,SPÑ,17:02:00,17:02:00
MSC 1711,12,LLN,17:05:00,17:05:00
MSC 1711,13,BLU,17:09:00,17:09:00
MSC 1711,14,TU,17:14:00,17:14:00
MSC 1731,1,AA,16:22:00,16:22:00
MSC 1731,2,SU,16:31:00,16:31:00
MSC 1731,3,BIC,16:40:00,16:40:00
MSC 1731,4,FTI,16:45:00,16:45:00
MSC 1731,5,NIC,16:49:00,16:49:00
MSC 1731,6,EDS,16:54:00,16:54:00
MSC 1731,7,PRD,16:57:00,16:57:00
MSC 1731,8,DLR,17:00:00,17:00:00
MSC 1731,9,VTC,17:04:00,17:04:00
MSC 1731,10,SAN,17:06:00,17:06:00
MSC 1731,11,PC,17:09:00,17:09:00
MSC 1731,12,PD,17:13:00,17:13:00
MSC 1731,13,SA,17:17:00,17:17:00
MSC 1731,14,SPÑ,17:22:00,17:22:00
MSC 1731,15,LLN,17:25:00,17:25:00
MSC 1731,16,BLU,17:29:00,17:29:00
MSC 1731,17,TU,17:34:00,17:34:00
MSC 1801,1,FTI,17:15:00,17:15:00
MSC 1801,2,NIC,17:19:00,17:19:00
MSC 1801,3,EDS,17:24:00,17:24:00
MSC 1801,4,PRD,17:27:00,17:27:00
MSC 1801,5,DLR,17:30:00,17:30:00
MSC 1801,6,VTC,17:34:00,17:34:00
MSC 1801,7,SAN,17:36:00,17:36:00
MSC 1801,8,PC,17:39:00,17:39:00
MSC 1801,9,PD,17:43:00,17:43:00
MSC 1801,10,SA,17:47:00,17:47:00
MSC 1801,11,SPÑ,17:52:00,17:52:00
MSC 1801,12,LLN,17:55:00,17:55:00
MSC 1801,13,BLU,17:59:00,17:59:00
MSC 1801,14,TU,18:04:00,18:04:00
MSC 1821,1,AA,17:12:00,17:12:00
MSC 1821,2,SU,17:21:00,17:21:00
MSC 1821,3,BIC,17:30:00,17:30:00
MSC 1821,4,FTI,17:35:00,17:35:00
MSC 1821,5,NIC,17:39:00,17:39:00
MSC 1821,6,EDS,17:44:00,17:44:00
MSC 1821,7,PRD,17:47:00,17:47:00
MSC 1821,8,DLR,17:50:00,17:50:00
MSC 1821,9,VTC,17:54:00,17:54:00
MSC 1821,10,SAN,17:56:00,17:56:00
MSC 1821,11,PC,17:59:00,17:59:00
MSC 1821,12,PD,18:03:00,18:03:00
MSC 1821,13,SA,18:07:00,18:07:00
MSC 1821,14,SPÑ,18:12:00,18:12:00
MSC 1821,15,LLN,18:15:00,18:15:00
MSC 1821,16,BLU,18:19:00,18:19:00
MSC 1821,17,TU,18:24:00,18:24:00
MNC 1841,1,BIC,17:50:00,17:50:00
MNC 1841,2,FTI,17:55:00,17:55:00
MNC 1841,3,NIC,17:59:00,17:59:00
MNC 1841,4,EDS,18:04:00,18:04:00
MNC 1841,5,PRD,18:07:00,18:07:00
MNC 1841,6,DLR,18:10:00,18:10:00
MNC 1841,7,VTC,18:14:00,18:14:00
MNC 1841,8,SAN,18:16:00,18:16:00
MNC 1841,9,PC,18:19:00,18:19:00
MNC 1841,10,PD,18:23:00,18:23:00
MNC 1841,11,SA,18:27:00,18:27:00
MNC 1841,12,SPÑ,18:32:00,18:32:00
MNC 1841,13,LLN,18:35:00,18:35:00
MNC 1841,14,BLU,18:39:00,18:39:00
MSC 1931,1,AA,18:22:00,18:22:00
MSC 1931,2,SU,18:31:00,18:31:00
MSC 1931,3,BIC,18:40:00,18:40:00
MSC 1931,4,FTI,18:45:00,18:45:00
MSC 1931,5,NIC,18:49:00,18:49:00
MSC 1931,6,EDS,18:54:00,18:54:00
MSC 1931,7,PRD,18:57:00,18:57:00
MSC 1931,8,DLR,19:00:00,19:00:00
MSC 1931,9,VTC,19:04:00,19:04:00
MSC 1931,10,SAN,19:06:00,19:06:00
MSC 1931,11,PC,19:09:00,19:09:00
MSC 1931,12,PD,19:13:00,19:13:00
MSC 1931,13,SA,19:17:00,19:17:00
MSC 1931,14,SPÑ,19:22:00,19:22:00
MSC 1931,15,LLN,19:25:00,19:25:00
MSC 1931,16,BLU,19:29:00,19:29:00
MSC 1931,17,TU,19:34:00,19:34:00
MNC 1941,1,BIC,18:50:00,18:50:00
MNC 1941,2,FTI,18:55:00,18:55:00
MNC 1941,3,NIC,18:59:00,18:59:00
MNC 1941,4,EDS,19:04:00,19:04:00
MNC 1941,5,PRD,19:07:00,19:07:00
MNC 1941,6,DLR,19:10:00,19:10:00
MNC 1941,7,VTC,19:14:00,19:14:00
MNC 1941,8,SAN,19:16:00,19:16:00
MNC 1941,9,PC,19:19:00,19:19:00
MNC 1941,10,PD,19:23:00,19:23:00
MNC 1941,11,SA,19:27:00,19:27:00
MNC 1941,12,SPÑ,19:32:00,19:32:00
MNC 1941,13,LLN,19:35:00,19:35:00
MNC 1941,14,BLU,19:39:00,19:39:00
MSC 2021,1,FTI,19:35:00,19:35:00
MSC 2021,2,NIC,19:39:00,19:39:00
MSC 2021,3,EDS,19:44:00,19:44:00
MSC 2021,4,PRD,19:47:00,19:47:00
MSC 2021,5,DLR,19:50:00,19:50:00
MSC 2021,6,VTC,19:54:00,19:54:00
MSC 2021,7,SAN,19:56:00,19:56:00
MSC 2021,8,PC,19:59:00,19:59:00
MSC 2021,9,PD,20:03:00,20:03:00
MSC 2021,10,SA,20:07:00,20:07:00
MSC 2021,11,SPÑ,20:12:00,20:12:00
MSC 2021,12,LLN,20:15:00,20:15:00
MSC 2021,13,BLU,20:19:00,20:19:00
MSC 2021,14,TU,20:24:00,20:24:00
MSC 2051,1,AA,19:42:00,19:42:00
MSC 2051,2,SU,19:51:00,19:51:00
MSC 2051,3,BIC,20:00:00,20:00:00
MSC 2051,4,FTI,20:05:00,20:05:00
MSC 2051,5,NIC,20:09:00,20:09:00
MSC 2051,6,EDS,20:14:00,20:14:00
MSC 2051,7,PRD,20:17:00,20:17:00
MSC 2051,8,DLR,20:20:00,20:20:00
MSC 2051,9,VTC,20:24:00,20:24:00
MSC 2051,10,SAN,20:26:00,20:26:00
MSC 2051,11,PC,20:29:00,20:29:00
MSC 2051,12,PD,20:33:00,20:33:00
MSC 2051,13,SA,20:37:00,20:37:00
MSC 2051,14,SPÑ,20:42:00,20:42:00
MSC 2051,15,LLN,20:45:00,20:45:00
MSC 2051,16,BLU,20:49:00,20:49:00
MSC 2051,17,TU,20:54:00,20:54:00
MSC 2111,1,FTI,20:25:00,20:25:00
MSC 2111,2,NIC,20:29:00,20:29:00
MSC 2111,3,EDS,20:34:00,20:34:00
MSC 2111,4,PRD,20:37:00,20:37:00
MSC 2111,5,DLR,20:40:00,20:40:00
MSC 2111,6,VTC,20:44:00,20:44:00
MSC 2111,7,SAN,20:46:00,20:46:00
MSC 2111,8,PC,20:49:00,20:49:00
MSC 2111,9,PD,20:53:00,20:53:00
MSC 2111,10,SA,20:57:00,20:57:00
MSC 2111,11,SPÑ,21:02:00,21:02:00
MSC 2111,12,LLN,21:05:00,21:05:00
MSC 2111,13,BLU,21:09:00,21:09:00
MSC 2111,14,TU,21:14:00,21:14:00
MSC 2251,1,FTI,22:05:00,22:05:00
MSC 2251,2,NIC,22:09:00,22:09:00
MSC 2251,3,EDS,22:14:00,22:14:00
MSC 2251,4,PRD,22:17:00,22:17:00
MSC 2251,5,DLR,22:20:00,22:20:00
MSC 2251,6,VTC,22:24:00,22:24:00
MSC 2251,7,SAN,22:26:00,22:26:00
MSC 2251,8,PC,22:29:00,22:29:00
MSC 2251,9,PD,22:33:00,22:33:00
MSC 2251,10,SA,22:37:00,22:37:00
MSC 2251,11,SPÑ,22:42:00,22:42:00
MSC 2251,12,LLN,22:45:00,22:45:00
MSC 2251,13,BLU,22:49:00,22:49:00
MSC 2251,14,TU,22:54:00,22:54:00
MNC 448,1,BLU,04:52:00,04:52:00
MNC 448,2,LLN,04:56:00,04:56:00
MNC 448,3,SPÑ,04:59:00,04:59:00
MNC 448,4,SA,05:04:00,05:04:00
MNC 448,5,PD,05:08:00,05:08:00
MNC 448,6,PC,05:12:00,05:12:00
MNC 448,7,SAN,05:15:00,05:15:00
MNC 448,8,VTC,05:17:00,05:17:00
MNC 448,9,DLR,05:21:00,05:21:00
MNC 448,10,PRD,05:24:00,05:24:00
MNC 448,11,EDS,05:27:00,05:27:00
MNC 448,12,NIC,05:32:00,05:32:00
MNC 448,13,FTI,05:36:00,05:36:00
MNC 448,14,BIC,05:40:00,05:40:00
MSC 518,1,BLU,05:22:00,05:22:00
MSC 518,2,LLN,05:26:00,05:26:00
MSC 518,3,SPÑ,05:29:00,05:29:00
MSC 518,4,SA,05:34:00,05:34:00
MSC 518,5,PD,05:38:00,05:38:00
MSC 518,6,PC,05:42:00,05:42:00
MSC 518,7,SAN,05:45:00,05:45:00
MSC 518,8,VTC,05:47:00,05:47:00
MSC 518,9,DLR,05:51:00,05:51:00
MSC 518,10,PRD,05:54:00,05:54:00
MSC 518,11,EDS,05:57:00,05:57:00
MSC 518,12,NIC,06:02:00,06:02:00
MSC 518,13,FTI,06:06:00,06:06:00
MSC 518,14,BIC,06:11:00,06:11:00
MSC 518,15,SU,06:20:00,06:20:00
MSC 518,16,AA,06:28:00,06:28:00
MSC 548,1,BLU,05:52:00,05:52:00
MSC 548,2,LLN,05:56:00,05:56:00
MSC 548,3,SPÑ,05:59:00,05:59:00
MSC 548,4,SA,06:04:00,06:04:00
MSC 548,5,PD,06:08:00,06:08:00
MSC 548,6,PC,06:12:00,06:12:00
MSC 548,7,SAN,06:15:00,06:15:00
MSC 548,8,VTC,06:17:00,06:17:00
MSC 548,9,DLR,06:21:00,06:21:00
MSC 548,10,PRD,06:24:00,06:24:00
MSC 548,11,EDS,06:27:00,06:27:00
MSC 548,12,NIC,06:32:00,06:32:00
MSC 548,13,FTI,06:36:00,06:36:00
MNC 618,1,BLU,06:22:00,06:22:00
MNC 618,2,LLN,06:26:00,06:26:00
MNC 618,3,SPÑ,06:29:00,06:29:00
MNC 618,4,SA,06:34:00,06:34:00
MNC 618,5,PD,06:38:00,06:38:00
MNC 618,6,PC,06:42:00,06:42:00
MNC 618,7,SAN,06:45:00,06:45:00
MNC 618,8,VTC,06:47:00,06:47:00
MNC 618,9,DLR,06:51:00,06:51:00
MNC 618,10,PRD,06:54:00,06:54:00
MNC 618,11,EDS,06:57:00,06:57:00
MNC 618,12,NIC,07:02:00,07:02:00
MNC 618,13,FTI,07:06:00,07:06:00
MNC 618,14,BIC,07:10:00,07:10:00
MSC 648,1,BLU,06:52:00,06:52:00
MSC 648,2,LLN,06:56:00,06:56:00
MSC 648,3,SPÑ,06:59:00,06:59:00
MSC 648,4,SA,07:04:00,07:04:00
MSC 648,5,PD,07:08:00,07:08:00
MSC 648,6,PC,07:12:00,07:12:00
MSC 648,7,SAN,07:15:00,07:15:00
MSC 648,8,VTC,07:17:00,07:17:00
MSC 648,9,DLR,07:21:00,07:21:00
MSC 648,10,PRD,07:24:00,07:24:00
MSC 648,11,EDS,07:27:00,07:27:00
MSC 648,12,NIC,07:32:00,07:32:00
MSC 648,13,FTI,07:36:00,07:36:00
MSC 648,14,BIC,07:41:00,07:41:00
MSC 648,15,SU,07:50:00,07:50:00
MSC 648,16,AA,07:58:00,07:58:00
MSC 708,1,BLU,07:12:00,07:12:00
MSC 708,2,LLN,07:16:00,07:16:00
MSC 708,3,SPÑ,07:19:00,07:19:00
MSC 708,4,SA,07:24:00,07:24:00
MSC 708,5,PD,07:28:00,07:28:00
MSC 708,6,PC,07:32:00,07:32:00
MSC 708,7,SAN,07:35:00,07:35:00
MSC 708,8,VTC,07:37:00,07:37:00
MSC 708,9,DLR,07:41:00,07:41:00
MSC 708,10,PRD,07:44:00,07:44:00
MSC 708,11,EDS,07:47:00,07:47:00
MSC 708,12,NIC,07:52:00,07:52:00
